Address,Latitude,Longitude
United States,39.7837304,-100.4458825
Canada,61.0666922,-107.9917071
United Kingdom,54.7023545,-3.2765753
Brazil,-10.3333333,-53.2
Spain,39.3262345,-4.8380649
Honduras,15.2572432,-86.0755145
India,22.3511148,78.6677428
Denmark,55.670249,10.3333283
Switzerland,46.7985624,8.2319736
Germany,51.0834196,10.4234469
Australia,-24.7761086,134.755
New Zealand,-41.5000831,172.8344077
Mozambique,-19.302233,34.9144977
Iceland,64.9841821,-18.1059013
Finland,63.2467777,25.9209164
Netherlands,52.5001698,5.7480821
Ireland,52.865196,-7.9794599
Czech Republic,49.8167003,15.4749544
Italy,42.6384261,12.674297
El Salvador,13.8000382,-88.9140683
"Korea, Republic of",36.638392,127.6961188
Norway,64.5731537,11.52803643954819
Colombia,2.8894434,-73.783892
Cyprus,34.9823018,33.1451285
Mexico,19.4326296,-99.1331785
Israel,31.5313113,34.8667654
Malta,35.8885993,14.4476911
Singapore,1.2904753,103.8520359
Poland,52.215933,19.134422
Malaysia,4.5693754,102.2656823
Hong Kong,22.2793278,114.1628131
Indonesia,-2.4833826,117.8902853
Sweden,59.6749712,14.5208584
Turkey,38.9597594,34.9249653
Thailand,14.8971921,100.83273
Isle of Man,54.2358167,-4.514598745698255
Bermuda,32.3018217,-64.7603583
United Arab Emirates,24.0002488,53.9994829
Peru,-6.8699697,-75.0458515
Greece,38.9953683,21.9877132
Viet Nam,13.2904027,108.4265113
South Africa,-28.8166236,24.991639
France,46.603354,1.8883335
Luxembourg,49.8158683,6.1296751
Nigeria,9.6000359,7.9999721
Hungary,47.1817585,19.5060937
Chile,-31.7613365,-71.3187697
Gibraltar,36.140807,-5.3541295
Japan,36.5748441,139.2394179
Portugal,40.0332629,-7.8896263
Bulgaria,42.6073975,25.4856617
Belgium,50.6402809,4.6667145
"United States, CA",36.7014631,-118.7559974
"United States, NJ",40.0757384,-74.4041622
"United States, CO",38.7251776,-105.6077167
"United States, TX",31.8160381,-99.5120986
"United States, NV",39.5158825,-116.8537227
"United States, GA",32.3293809,-83.1137366
"United States, FL",27.7567667,-81.4639835
"United States, HI",19.58726775,-155.42688965312746
"United States, AZ",34.395342,-111.7632755
"United States, DE",38.6920451,-75.4013315
